year,Industry,Nacerev,MNE_profit_shifting
2012,H,50,0.002
2013,H,50,0.008
2015,A,110,0.0
2009,A,111,0.016
2010,A,111,0.025
2011,A,111,0.059
2012,A,111,0.06
2013,A,111,0.047
2014,A,111,0.042
2015,A,111,0.055
2016,A,111,0.048
2017,A,111,0.051
2018,A,111,0.029
2019,A,111,0.026
2020,A,111,0.05
2017,A,112,0.01
2018,A,112,0.0
2020,A,112,0.001
2009,A,113,0.04
2010,A,113,0.003
2011,A,113,0.033
2012,A,113,0.044
2013,A,113,0.002
2014,A,113,0.003
2015,A,113,0.008
2016,A,113,0.006
2017,A,113,0.035
2018,A,113,0.004
2019,A,113,0.003
2020,A,113,0.005
2009,A,114,0.0
2010,A,114,0.001
2011,A,114,0.003
2012,A,114,0.001
2013,A,114,0.0
2015,A,114,0.0
2016,A,114,0.001
2019,A,114,0.001
2009,A,115,0.0
2014,A,115,0.005
2015,A,115,0.001
2018,A,115,0.0
2019,A,115,0.0
2009,A,116,0.076
2010,A,116,0.874
2011,A,116,0.463
2012,A,116,0.169
2013,A,116,0.184
2014,A,116,0.104
2015,A,116,0.082
2016,A,116,0.52
2017,A,116,0.242
2018,A,116,0.23
2019,A,116,0.092
2020,A,116,0.079
2009,A,119,0.0
2010,A,119,0.002
2011,A,119,0.001
2012,A,119,0.001
2013,A,119,0.001
2014,A,119,0.001
2015,A,119,0.001
2016,A,119,0.005
2017,A,119,0.004
2018,A,119,0.004
2019,A,119,0.006
2020,A,119,0.008
2011,A,121,0.0
2012,A,121,0.0
2013,A,121,0.0
2014,A,121,0.0
2015,A,121,0.0
2016,A,121,0.001
2017,A,121,0.001
2018,A,121,0.001
2019,A,121,0.0
2020,A,121,0.0
2009,A,122,0.0
2010,A,122,0.0
2011,A,122,0.001
2012,A,122,0.031
2013,A,122,0.0
2014,A,122,0.0
2015,A,122,0.001
2016,A,122,0.005
2018,A,122,0.001
2019,A,122,0.001
2020,A,122,0.002
2009,A,123,0.001
2010,A,123,0.002
2011,A,123,0.001
2012,A,123,0.034
